title,type,genres,releaseYear,imdbAverageRating
Terminator 3: Rise of the Machines,movie,"Action, Sci-Fi",2003,6.3
Ocean's Thirteen,movie,"Crime, Thriller",2007,6.9
Swimming Pool,movie,"Crime, Drama, Mystery",2003,6.7
Beverly Hills Cop III,movie,"Action, Comedy, Crime",1994,5.5
Catwoman,movie,"Action, Crime, Fantasy",2004,3.4
Mystic River,movie,"Crime, Drama, Mystery",2003,7.9
Das Boot,movie,"Drama, War",1981,8.4
A Fistful of Dollars,movie,"Action, Drama, Western",1964,7.9
Chocolat,movie,"Drama, Romance",2000,7.2
Kill Bill: Vol. 2,movie,"Action, Crime, Thriller",2004,8
Driving Miss Daisy,movie,"Comedy, Drama",1989,7.3
Summer in Berlin,movie,Drama,2005,6.9
The Pianist,movie,"Biography, Drama, Music",2002,8.5
The Day After Tomorrow,movie,"Action, Adventure, Sci-Fi",2004,6.5
A Beautiful Mind,movie,"Biography, Drama, Mystery",2001,8.2
Sissi,movie,"Comedy, Drama, History",1955,7
Sissi: The Young Empress,movie,"Drama, History",1956,6.6
Sissi: The Fateful Years of an Empress,movie,"Drama, History, Romance",1957,6.6
Erin Brockovich,movie,"Biography, Drama",2000,7.4
As It Is in Heaven,movie,"Comedy, Drama, Music",2004,7.5
My Own Private Idaho,movie,Drama,1991,7
The African Queen,movie,"Adventure, Drama, Romance",1951,7.7
The Seventh Seal,movie,"Drama, Fantasy",1957,8.1
The Green Mile,movie,"Crime, Drama, Fantasy",1999,8.6
Poseidon,movie,"Action, Adventure, Thriller",2006,5.7
Monster,movie,"Biography, Crime, Drama",2003,7.3
Marnie,movie,"Crime, Drama, Mystery",1964,7.1
Love Actually,movie,"Comedy, Drama, Romance",2003,7.6
Notting Hill,movie,"Comedy, Drama, Romance",1999,7.2
One Flew Over the Cuckoo's Nest,movie,Drama,1975,8.7
Casino,movie,"Crime, Drama",1995,8.2
Once Were Warriors,movie,"Crime, Drama",1994,7.9
Wallace & Gromit: The Curse of the Were-Rabbit,movie,"Adventure, Animation, Comedy",2005,7.5
Terminator Salvation,movie,"Action, Adventure, Sci-Fi",2009,6.5
Flashdance,movie,"Drama, Music, Romance",1983,6.2
Psycho,movie,"Horror, Mystery, Thriller",1960,8.5
Rashomon,movie,"Crime, Drama, Mystery",1950,8.2
Fight Club,movie,Drama,1999,8.8
Spider-Man,movie,"Action, Adventure, Sci-Fi",2002,7.4
Spider-Man 2,movie,"Action, Adventure, Sci-Fi",2004,7.5
Spider-Man 3,movie,"Action, Adventure, Sci-Fi",2007,6.3
Constantine,movie,"Action, Fantasy, Horror",2005,7
Starship Troopers,movie,"Action, Adventure, Sci-Fi",1997,7.3
The Mummy,movie,"Action, Adventure, Fantasy",1999,7.1
The Birds,movie,"Drama, Horror, Mystery",1963,7.6
Next Door,movie,"Mystery, Thriller",2005,6.4
Jaws,movie,"Adventure, Drama, Thriller",1975,8.1
Jaws 2,movie,"Adventure, Horror, Thriller",1978,5.8
The Lives of Others,movie,"Drama, Mystery, Thriller",2006,8.4
Monty Python's Life of Brian,movie,Comedy,1979,8
2 Fast 2 Furious,movie,"Action, Crime, Thriller",2003,5.9
Big Fish,movie,"Adventure, Drama, Fantasy",2003,8
The Hours,movie,"Drama, Romance",2002,7.5
The Da Vinci Code,movie,"Mystery, Thriller",2006,6.6
The Terminal,movie,"Comedy, Drama, Romance",2004,7.4
Titanic,movie,"Drama, Romance",1997,7.9
City of God,movie,"Crime, Drama",2002,8.6
Full Metal Jacket,movie,"Drama, War",1987,8.2
E.T. the Extra-Terrestrial,movie,"Adventure, Family, Sci-Fi",1982,7.9
The Matrix,movie,"Action, Sci-Fi",1999,8.7
The Matrix Reloaded,movie,"Action, Sci-Fi",2003,7.2
The Matrix Revolutions,movie,"Action, Sci-Fi",2003,6.7
Men in Black,movie,"Action, Adventure, Comedy",1997,7.3
Men in Black II,movie,"Action, Adventure, Comedy",2002,6.2
Munich,movie,"Action, Drama, History",2005,7.5
Wild Strawberries,movie,"Drama, Romance",1957,8.1
The Last Samurai,movie,"Action, Drama",2003,7.8
Wild Things,movie,"Crime, Drama, Mystery",1998,6.6
The Bodyguard,movie,"Action, Drama, Music",1992,6.4
Ghostbusters,movie,"Action, Comedy, Fantasy",1984,7.8
The Ninth Gate,movie,"Mystery, Thriller",1999,6.7
Easy Rider,movie,"Adventure, Drama",1969,7.2
Interview with the Vampire,movie,"Drama, Fantasy, Horror",1994,7.5
Bridget Jones's Diary,movie,"Comedy, Drama, Romance",2001,6.8
Life Is Beautiful,movie,"Comedy, Drama, Romance",1997,8.6
Catch Me If You Can,movie,"Biography, Crime, Drama",2002,8.1
Final Fantasy VII: Advent Children,movie,"Action, Adventure, Animation",2005,7.1
Boyz n the Hood,movie,"Crime, Drama",1991,7.8
Troy,movie,"Adventure, Drama",2004,7.3
Saw IV,movie,"Horror, Mystery, Thriller",2007,5.9
Central Station,movie,Drama,1998,8
Oldboy,movie,"Action, Drama, Mystery",2003,8.3
Harry Potter and the Sorcerer's Stone,movie,"Adventure, Family, Fantasy",2001,7.6
Harry Potter and the Chamber of Secrets,movie,"Adventure, Family, Fantasy",2002,7.4
Harry Potter and the Prisoner of Azkaban,movie,"Adventure, Family, Fantasy",2004,7.9
Harry Potter and the Goblet of Fire,movie,"Adventure, Family, Fantasy",2005,7.7
Harry Potter and the Order of the Phoenix,movie,"Action, Adventure, Family",2007,7.5
Pulp Fiction,movie,"Crime, Drama",1994,8.9
The Bridges of Madison County,movie,"Drama, Romance",1995,7.6
Meet the Fockers,movie,"Comedy, Romance",2004,6.3
Finding Forrester,movie,"Drama, Sport",2000,7.3
The Piano,movie,"Drama, Music, Romance",1993,7.5
Together,movie,"Comedy, Drama, Romance",2000,7.4
Top Gun,movie,"Action, Drama",1986,6.9
The Last Emperor,movie,"Biography, Drama, History",1987,7.7
Shaun of the Dead,movie,"Comedy, Horror",2004,7.9
V for Vendetta,movie,"Action, Drama, Sci-Fi",2005,8.1
Monty Python and the Holy Grail,movie,"Adventure, Comedy, Fantasy",1975,8.2
The Evil Dead,movie,Horror,1981,7.4
Harry Potter and the Half-Blood Prince,movie,"Action, Adventure, Family",2009,7.6
Goodfellas,movie,"Biography, Crime, Drama",1990,8.7
Gandhi,movie,"Biography, Drama, History",1982,8
Kolya,movie,"Comedy, Drama, Music",1996,7.7
Mr. & Mrs. Smith,movie,"Action, Comedy, Crime",2005,6.5
Closely Watched Trains,movie,"Comedy, Drama, Romance",1966,7.6
The Fog,movie,"Horror, Mystery",2005,3.7
City of Angels,movie,"Drama, Fantasy, Romance",1998,6.7
Persona,movie,"Drama, Thriller",1966,8
Rosemary's Baby,movie,"Drama, Horror",1968,8
Se7en,movie,"Crime, Drama, Mystery",1995,8.6
Airplane!,movie,Comedy,1980,7.7
Austin Powers: The Spy Who Shagged Me,movie,"Action, Adventure, Comedy",1999,6.7
Chinatown,movie,"Drama, Mystery, Thriller",1974,8.1
Underworld: Evolution,movie,"Action, Fantasy, Thriller",2006,6.7
Barren Lives,movie,Drama,1963,7.5
Close Encounters of the Third Kind,movie,"Drama, Sci-Fi",1977,7.6
Dune,movie,"Action, Adventure, Sci-Fi",1984,6.3
In the Mood for Love,movie,"Drama, Romance",2000,8.1
2046,movie,"Drama, Romance, Sci-Fi",2004,7.4
The Mask,movie,"Action, Comedy, Crime",1994,6.9
Black Hawk Down,movie,"Action, Drama, History",2001,7.7
Saving Private Ryan,movie,"Drama, War",1998,8.6
Sleepless in Seattle,movie,"Comedy, Drama, Romance",1993,6.8
Dangerous Liaisons,movie,"Drama, Romance",1988,7.5
The Running Man,movie,"Action, Sci-Fi, Thriller",1987,6.6
Tsotsi,movie,"Crime, Drama",2005,7.2
The Color Purple,movie,Drama,1985,7.7
A Man for All Seasons,movie,"Biography, Drama, History",1966,7.7
Hook,movie,"Adventure, Comedy, Family",1991,6.8
A Few Good Men,movie,"Drama, Thriller",1992,7.7
All the President's Men,movie,"Drama, History, Thriller",1976,7.9
Cinderella Man,movie,"Biography, Drama, Romance",2005,8
Dawn of the Dead,movie,"Action, Horror",2004,7.2
Godzilla,movie,"Action, Sci-Fi, Thriller",1998,5.4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,movie,"Comedy, War",1964,8.3
Lawrence of Arabia,movie,"Adventure, Biography, Drama",1962,8.3
Halloween,movie,"Horror, Thriller",1978,7.7
Heat,movie,"Action, Crime, Drama",1995,8.3
Kindergarten Cop,movie,"Action, Comedy, Crime",1990,6.2
Mission: Impossible,movie,"Action, Adventure, Thriller",1996,7.2
Mission: Impossible II,movie,"Action, Adventure, Thriller",2000,6.1
Mission: Impossible III,movie,"Action, Adventure, Thriller",2006,6.9
Seven Years in Tibet,movie,"Adventure, Biography, Drama",1997,7.1
Irreversible,movie,"Crime, Drama, Mystery",2002,7.3
Whale Rider,movie,"Drama, Family",2002,7.5
Point Break,movie,"Action, Crime, Thriller",1991,7.3
The Thirteenth Floor,movie,"Mystery, Sci-Fi, Thriller",1999,7
The Prestige,movie,"Drama, Mystery, Sci-Fi",2006,8.5
Dreamgirls,movie,"Drama, Music, Musical",2006,6.6
Babel,movie,Drama,2006,7.5
The Queen,movie,"Biography, Drama",2006,7.3
The Talented Mr. Ripley,movie,"Crime, Drama, Thriller",1999,7.4
The Remains of the Day,movie,"Drama, Romance",1993,7.8
Hannibal Rising,movie,"Adventure, Crime, Drama",2007,6.1
Ghost Rider,movie,"Action, Fantasy, Thriller",2007,5.3
Letters from Iwo Jima,movie,"Action, Adventure, Drama",2006,7.8
"Don't Worry, I'm Fine",movie,Drama,2006,7.3
The Host,movie,"Drama, Horror, Sci-Fi",2006,7.1
Bridge to Terabithia,movie,"Drama, Family, Fantasy",2007,7.2
Street Kings,movie,"Action, Crime, Thriller",2008,6.8
Mr. Bean's Holiday,movie,"Comedy, Family",2007,6.4
300,movie,"Action, Drama",2006,7.6
TMNT,movie,"Action, Adventure, Animation",2007,6.2
The Dreamers,movie,"Drama, Romance",2003,7.1
3-Iron,movie,"Crime, Drama, Romance",2004,7.9
Bean,movie,"Adventure, Comedy, Family",1997,6.5
"Torrente, the Dumb Arm of the Law",movie,"Comedy, Crime",1998,6.8
Torrente 2: Mission in Marbella,movie,"Action, Comedy, Crime",2001,6.4
Torrente 3: El protector,movie,"Comedy, Crime",2005,5.6
Four Minutes,movie,"Drama, Music",2006,7.3
American Psycho,movie,"Crime, Drama, Horror",2000,7.6
Frida,movie,"Biography, Drama, Romance",2002,7.3
Sex and Lucía,movie,"Drama, Romance",2001,7
Monster's Ball,movie,"Drama, Romance",2001,7
First Blood,movie,"Action, Adventure, Thriller",1982,7.7
Blood Diamond,movie,"Adventure, Drama, Thriller",2006,8
The Pursuit of Happyness,movie,"Biography, Drama",2006,8
"Sex, Lies, and Videotape",movie,Drama,1989,7.2
Pan's Labyrinth,movie,"Drama, Fantasy, War",2006,8.2
Take My Eyes,movie,"Drama, Romance",2003,7.4
The Departed,movie,"Crime, Drama, Thriller",2006,8.5
Perfume: The Story of a Murderer,movie,"Crime, Drama, Fantasy",2006,7.5
Once Upon a Time in Mexico,movie,"Action, Crime, Thriller",2003,6.3
Little Children,movie,"Drama, Romance",2006,7.5
The Virgin Suicides,movie,"Drama, Romance",1999,7.2
Hellboy,movie,"Action, Adventure, Fantasy",2004,6.9
Miss Congeniality,movie,"Action, Comedy, Crime",2000,6.3
Curse of the Golden Flower,movie,"Action, Drama, Romance",2006,7
Spy Game,movie,"Action, Crime, Thriller",2001,7.1
Collateral,movie,"Action, Crime, Drama",2004,7.5
The Lost Boys,movie,"Comedy, Horror",1987,7.2
The Spanish Apartment,movie,"Comedy, Drama, Romance",2002,7.3
Resident Evil,movie,"Action, Horror, Sci-Fi",2002,6.6
Resident Evil: Apocalypse,movie,"Action, Horror, Sci-Fi",2004,6.1
The Holiday,movie,"Comedy, Romance",2006,7
School of Rock,movie,"Comedy, Music",2003,7.2
Secret Window,movie,"Drama, Mystery, Thriller",2004,6.5
What's Eating Gilbert Grape,movie,Drama,1993,7.7
Bring It On,movie,"Comedy, Romance, Sport",2000,6.1
Primal Fear,movie,"Crime, Drama, Mystery",1996,7.7
Meet the Parents,movie,"Comedy, Romance",2000,7
Cape Fear,movie,"Crime, Thriller",1991,7.3
Hitman,movie,"Action, Crime, Thriller",2007,6.2
The People vs. Larry Flynt,movie,"Biography, Drama",1996,7.3
Fried Green Tomatoes,movie,Drama,1991,7.7
Free Willy,movie,"Adventure, Drama, Family",1993,6
The Island,movie,"Action, Sci-Fi, Thriller",2005,6.8
The Net,movie,"Action, Crime, Drama",1995,6
The Motorcycle Diaries,movie,"Adventure, Biography, Drama",2004,7.7
The Legend of Zorro,movie,"Action, Adventure, Romance",2005,6
Hostel,movie,Horror,2005,5.9
Hostel: Part II,movie,Horror,2007,5.5
Anatomy,movie,"Horror, Thriller",2000,6
The Cider House Rules,movie,"Drama, Romance",1999,7.4
The Incredible Hulk,movie,"Action, Adventure, Sci-Fi",2008,6.6
Iron Man,movie,"Action, Adventure, Sci-Fi",2008,7.9
The Forbidden Kingdom,movie,"Action, Adventure, Fantasy",2008,6.5
The Mummy Returns,movie,"Action, Adventure, Fantasy",2001,6.4
The Mummy: Tomb of the Dragon Emperor,movie,"Action, Adventure, Fantasy",2008,5.2
Next,movie,"Action, Sci-Fi, Thriller",2007,6.2
Footloose,movie,"Drama, Music, Romance",1984,6.6
The Devil's Advocate,movie,"Drama, Fantasy, Mystery",1997,7.5
50 First Dates,movie,"Comedy, Drama, Romance",2004,6.8
Russian Dolls,movie,"Comedy, Drama, Romance",2005,7
We Shall Overcome,movie,"Drama, Family",2006,7.3
Fantomas Unleashed,movie,"Adventure, Comedy, Crime",1965,6.8
Fantomas,movie,"Adventure, Comedy, Crime",1964,6.9
Fantomas vs. Scotland Yard,movie,"Adventure, Comedy, Crime",1967,6.7
Fear and Loathing in Las Vegas,movie,"Adventure, Comedy, Drama",1998,7.5
The Karate Kid,movie,"Action, Drama, Family",1984,7.3
Marie Antoinette,movie,"Biography, Drama, History",2006,6.5
Traffic,movie,"Crime, Drama, Thriller",2000,7.6
In Good Company,movie,"Comedy, Drama, Romance",2004,6.5
Open Your Eyes,movie,"Drama, Mystery, Sci-Fi",1997,7.7
Vanilla Sky,movie,"Fantasy, Mystery, Romance",2001,6.9
Memoirs of a Geisha,movie,"Drama, Romance",2005,7.3
The Sea Inside,movie,"Biography, Drama",2004,8
"Manta, Manta",movie,Comedy,1991,5.7
Away from Her,movie,Drama,2006,7.5
Sweet November,movie,"Drama, Romance",2001,6.7
September 11,movie,Drama,2002,6.8
Hulk,movie,"Action, Sci-Fi",2003,5.6
The Amazing Spider-Man,movie,"Action, Adventure, Sci-Fi",2012,6.9
Stomp the Yard,movie,"Drama, Music, Romance",2007,5.4
The Others,movie,"Horror, Mystery, Thriller",2001,7.6
Me and My Sister,movie,"Comedy, Drama",2004,6.4
An Unfinished Life,movie,"Drama, Family, Romance",2005,7
Crank,movie,"Action, Crime, Thriller",2006,6.9
Zodiac,movie,"Crime, Drama, Mystery",2007,7.7
The Butterfly Effect,movie,"Drama, Sci-Fi, Thriller",2004,7.6
Enough,movie,"Crime, Drama, Thriller",2002,5.8
A Perfect Murder,movie,"Crime, Drama, Thriller",1998,6.6
Alexander,movie,"Action, Biography, Drama",2004,5.6
Bra Boys,movie,"Documentary, Sport",2007,6.1
The Constant Gardener,movie,"Drama, Mystery, Romance",2005,7.3
Paranoid Park,movie,"Crime, Drama, Mystery",2007,6.6
Death Proof,movie,"Action, Drama, Thriller",2007,7
Lara Croft: Tomb Raider - The Cradle of Life,movie,"Action, Adventure, Fantasy",2003,5.5
We Own the Night,movie,"Action, Crime, Drama",2007,6.8
"4 Months, 3 Weeks and 2 Days",movie,Drama,2007,7.9
Persepolis,movie,"Animation, Biography, Drama",2007,8
Secret Sunshine,movie,Drama,2007,7.5
The Wedding Planner,movie,"Comedy, Romance",2001,5.3
Hard Target,movie,"Action, Crime, Thriller",1993,6.2
Mr. Deeds,movie,"Comedy, Romance",2002,5.8
The Patriot,movie,"Action, Drama, History",2000,7.2
A Few Days with Me,movie,"Comedy, Drama, Romance",1988,7
Training Day,movie,"Crime, Drama, Thriller",2001,7.8
The Lake House,movie,"Drama, Fantasy, Romance",2006,6.8
The Whole Nine Yards,movie,"Comedy, Crime",2000,6.7
Halloween,movie,Horror,2007,6
Romeo Must Die,movie,"Action, Crime, Thriller",2000,6.1
The Last Castle,movie,"Action, Drama, Thriller",2001,6.9
Requiem,movie,"Action, Crime, Horror",2001,5
American Pie,movie,Comedy,1999,7
Rush Hour,movie,"Action, Comedy, Crime",1998,7
Sophie Scholl: The Final Days,movie,"Biography, Crime, Drama",2005,7.6
The Perfect Storm,movie,"Action, Adventure, Drama",2000,6.5
The Storm Riders,movie,"Action, Adventure, Fantasy",1998,6.3
Kiss of the Dragon,movie,"Action, Crime, Thriller",2001,6.6
The Glass House,movie,"Crime, Drama, Mystery",2001,5.8
Heartbreak Hotel,movie,"Comedy, Drama, Music",2006,5.4
Unfaithful,movie,"Drama, Romance, Thriller",2002,6.7
Eastern Promises,movie,"Crime, Drama, Thriller",2007,7.6
Lola,movie,"Drama, Romance",1981,7.4
The Golden Compass,movie,"Adventure, Family, Fantasy",2007,6.1
The General's Daughter,movie,"Crime, Drama, Mystery",1999,6.4
Mr. Magorium's Wonder Emporium,movie,"Comedy, Family, Fantasy",2007,6.2
Closer,movie,"Drama, Romance",2004,7.2
Cold Mountain,movie,"Adventure, Drama, Romance",2003,7.2
Clerks,movie,Comedy,1994,7.7
Space Jam,movie,"Adventure, Animation, Comedy",1996,6.5
The Wounded Man,movie,"Crime, Drama, Romance",1983,6.6
Beowulf,movie,"Action, Adventure, Animation",2007,6.3
In the Name of the King: A Dungeon Siege Tale,movie,"Action, Adventure, Fantasy",2007,3.8
Executive Decision,movie,"Action, Adventure, Thriller",1996,6.5
Field of Dreams,movie,"Drama, Family, Fantasy",1989,7.5
Taxi,movie,"Action, Comedy, Crime",1998,7
Taxi 2,movie,"Action, Comedy, Crime",2000,6.5
Taxi 3,movie,"Action, Comedy, Crime",2003,5.8
Taxi 4,movie,"Action, Comedy, Crime",2007,5.6
The Boat on the Grass,movie,Drama,1971,5.8
Asterix at the Olympic Games,movie,"Adventure, Comedy, Family",2008,5.2
Joint Security Area,movie,"Action, Drama, Thriller",2000,7.7
The Nativity Story,movie,"Adventure, Drama, Family",2006,6.8
Tie Me Up! Tie Me Down!,movie,"Comedy, Crime, Drama",1989,7
The Bourne Identity,movie,"Action, Mystery, Thriller",2002,7.8
The Bourne Supremacy,movie,"Action, Mystery, Thriller",2004,7.7
The Bourne Ultimatum,movie,"Action, Mystery, Thriller",2007,8
Nobody Knows,movie,Drama,2004,8
Spanglish,movie,"Comedy, Drama, Romance",2004,6.4
The Aviator,movie,"Biography, Drama",2004,7.5
The Specialist,movie,"Action, Drama, Thriller",1994,5.6
Two Weeks Notice,movie,"Comedy, Romance",2002,6.2
The Game,movie,"Drama, Mystery, Thriller",1997,7.7
The Blair Witch Project,movie,"Horror, Mystery",1999,6.5
Ringu,movie,"Horror, Mystery",1998,7.2
The Other Side of the Bed,movie,"Comedy, Drama, Musical",2002,6.4
Indochine,movie,"Drama, Romance, War",1992,7
Addams Family Values,movie,"Comedy, Fantasy",1993,6.8
American Pie 2,movie,Comedy,2001,6.4
The Chronicles of Riddick,movie,"Action, Adventure, Sci-Fi",2004,6.6
Rumor Has It...,movie,"Comedy, Drama, Romance",2005,5.5
Identity,movie,"Mystery, Thriller",2003,7.3
Hunting and Gathering,movie,"Drama, Romance",2007,6.7
As Good as It Gets,movie,"Comedy, Drama, Romance",1997,7.7
The Addams Family,movie,"Comedy, Fantasy",1991,6.9
License to Wed,movie,"Comedy, Romance",2007,5.3
Hairspray,movie,"Comedy, Drama, Musical",2007,6.7
One on Top of the Other,movie,"Horror, Mystery, Thriller",1969,6.6
The Man Between,movie,"Crime, Drama, Film-Noir",1953,7
1408,movie,"Fantasy, Horror, Mystery",2007,6.8
Experiment in Evil,movie,"Drama, Horror, Sci-Fi",1959,6.5
Ace Ventura: Pet Detective,movie,Comedy,1994,6.9
Frankenstein 90,movie,"Comedy, Drama, Horror",1984,4.5
Alvin and the Chipmunks Meet Frankenstein,movie,"Animation, Comedy, Family",1999,6
Gangs of New York,movie,"Crime, Drama",2002,7.5
The Horror of Frankenstein,movie,"Comedy, Horror, Sci-Fi",1970,5.8
Battle Royale,movie,"Action, Adventure, Drama",2000,7.5
The Sensuous Assassin,movie,"Mystery, Thriller",1970,5.6
The Hero,movie,"Drama, Sport",1970,5.2
The Things of Life,movie,"Drama, Romance",1970,7.4
Cesar & Rosalie,movie,"Drama, Romance",1972,7.3
Max and the Junkmen,movie,"Crime, Drama, Romance",1971,7.3
Mr. Brooks,movie,"Crime, Drama, Mystery",2007,7.3
That Most Important Thing: Love,movie,"Drama, Romance",1975,7
88 Minutes,movie,"Crime, Drama, Mystery",2007,5.9
Under Siege 2: Dark Territory,movie,"Action, Adventure, Thriller",1995,5.6
U-571,movie,"Action, War",2000,6.6
Bagdad Cafe,movie,"Comedy, Drama",1987,7.4
After the Wedding,movie,Drama,2006,7.7
"Girl, Interrupted",movie,"Biography, Drama",1999,7.3
I Now Pronounce You Chuck & Larry,movie,"Comedy, Romance",2007,5.9
Emma,movie,"Comedy, Drama, Romance",1996,6.6
Ransom,movie,"Action, Crime, Thriller",1996,6.7
I Know What You Did Last Summer,movie,"Horror, Mystery",1997,5.8
Girl with a Pearl Earring,movie,"Biography, Drama, Romance",2003,6.9
Flags of Our Fathers,movie,"Action, Adventure, Drama",2006,7.1
Objective 500 Million,movie,"Crime, Drama, Thriller",1966,6.1
Dark Blue Almost Black,movie,"Comedy, Drama, Romance",2006,7.1
Brothers,movie,"Drama, War",2004,7.5
Corpse Bride,movie,"Animation, Comedy, Drama",2005,7.4
Ménage,movie,"Comedy, Crime, Drama",1986,6.9
What Women Want,movie,"Comedy, Fantasy, Romance",2000,6.5
Beetlejuice,movie,"Comedy, Fantasy",1988,7.5
My Girl,movie,"Comedy, Drama, Family",1991,6.9
Law of Desire,movie,"Comedy, Drama, Thriller",1987,7.1
The Down-in-the-Hole Gang,movie,"Adventure, Comedy, Fantasy",1974,6.2
The Transporter,movie,"Action, Crime, Thriller",2002,6.8
Blow,movie,"Biography, Crime, Drama",2001,7.5
Vengeance of the Three Musketeers,movie,"Adventure, Romance",1961,6.5
Tell Her That I Love Her,movie,"Drama, Mystery, Romance",1977,6.6
Life Upside Down,movie,Drama,1964,7.3
Bluebeard,movie,"Biography, Crime, Drama",1963,6.4
Women on the Verge of a Nervous Breakdown,movie,"Comedy, Drama",1988,7.5
I Married a Shadow,movie,"Drama, Romance, Thriller",1983,6.4
Scream,movie,"Horror, Mystery",1996,7.4
Scream 2,movie,"Horror, Mystery",1997,6.3
Scream 3,movie,"Horror, Mystery",2000,5.7
Scary Movie,movie,Comedy,2000,6.3
Scary Movie 2,movie,"Comedy, Horror",2001,5.4
Chalte Chalte,movie,"Drama, Romance",2003,6.5
Kal Ho Naa Ho,movie,"Comedy, Drama, Musical",2003,7.9
Scary Movie 3,movie,Comedy,2003,5.6
